textbook,tickets,bedding,bicycles,phones,instrument,personal,makeup,food,household,clothing,furniture,kitchen,trash,tech,sublet,longboard,gaming,tv,sports,tools,cars
mcat,tickets?,mattress(es)?,bikes?,.*phone,guitar,watch,dye,lollipop,brooms?,boots?,bookcases?,microwaves?,wildcard,laptops?,sublet(ting)?,longboard,psp,hdtv,racket,saw,toyota
barrons?,tix,twin,bicycles?,,,backpack,,ramen,clothes rack,overalls?,cables?,minifridges?,,asus,apartment,long-board,xbox,,tennis,hammer,camry
textbooks?,lollapalooza,queen,,,,bookbag,,crab,iron,uggs?,lamps?,fridges?,,monitors?,,penny/longboard,playstation,,,,
biology,palloza,king,,,,jewelry,,,pitchers?,overalls?,futons?,mini-fridge,,macbook,,,3ds,,,,
sociology,,pillowcase,,,,hairdryer,,,alarm?,hats?,sofas?,refrigerator,,charger,,,,,,,
ea1,,pillow,,,,razor,,,heaters?,leggings?,chairs?,plates?,,router,,,,,,,
ea2,,,,,,u lock,,,a\/c,hats?,couch(es)?,bowls?,,adapter,,,,,,,
matlab,,,,,,u-lock,,,tablecloth,tanks?,bookshelf,silverware,,nexus,,,,,,,
history,,,,,,lighter,,,duster,suspenders?,bookshelves,cutlery,,ipod,,,,,,,
physiology,,,,,,goggles,,,shovel,coat,desks?,blender,,nano,,,,,,,
chem,,,,,,,,,cooler,dress\b,drawers?,toaster,,earbuds?,,,,,,,
math,,,,,,,,,mirror,lace,dresser,cooker,,sony,,,,,,,
english,,,,,,,,,whiteboard,sequined,nightstand,kettle,,gopro,,,,,,,
french,,,,,,,,,humidifier,jean,beds?,grill,,camera,,,,,,,
gre,,,,,,,,,vacuum,scarf,headboard,,,speakers?,,,,,,,
politics,,,,,,,,,sewing,costume,tables?\b,,,calculators?,,,,,,,
kaplan,,,,,,,,,brita,heels,pantry,,,wireless,,,,,,,
examkrackers?,,,,,,,,,hangers?,fanny,cabinet,,,enclosure,,,,,,,
dictionary,,,,,,,,,bulb,headband,beanbag,,,ti-89,,,,,,,
macroeconomics,,,,,,,,,rug,onesies?,shelf,,,ti-84,,,,,,,
accounting,,,,,,,,,,shirts?,rack/shelf,,,computers?,,,,,,,
orgo,,,,,,,,,,nike,shoerack,,,clickers?,,,,,,,
iems,,,,,,,,,,sandals?,,,,responsecard,,,,,,,
statistics,,,,,,,,,,tshirts?,,,,printers?,,,,,,,
astronomy,,,,,,,,,,t-shirts?,,,,vizio,,,,,,,
calculus,,,,,,,,,,sweater,,,,thunderbolt,,,,,,,
spanish,,,,,,,,,,,,,,ethernet,,,,,,,
physics,,,,,,,,,,,,,,ipad,,,,,,,
archeology,,,,,,,,,,,,,,hdmi,,,,,,,
algorithm,,,,,,,,,,,,,,,,,,,,,
german,,,,,,,,,,,,,,,,,,,,,
econ,,,,,,,,,,,,,,,,,,,,,
algebra,,,,,,,,,,,,,,,,,,,,,